,RM,LSTAT,CRIM,ZN,INDUS,CHAS,NOX,AGE,DIS,RAD,TAX,PTRATIO,B,Prices
0,7.42,6.47,0.07503,33.0,2.18,0.0,0.472,71.9,3.0992,7.0,222.0,18.4,396.9,33.4
1,6.715,10.16,0.10084,0.0,10.01,0.0,0.547,81.6,2.6775,6.0,432.0,17.8,395.59,22.8
2,6.006,15.7,7.02259,0.0,18.1,0.0,0.718,95.3,1.8746,24.0,666.0,20.2,319.98,14.2
3,6.25,5.5,1.27346,0.0,19.58,1.0,0.605,92.6,1.7984,5.0,403.0,14.7,338.92,27.0
4,5.453,30.59,38.3518,0.0,18.1,0.0,0.693,100.0,1.4896,24.0,666.0,20.2,396.9,5.0
5,6.395,13.27,3.8497,0.0,18.1,1.0,0.77,91.0,2.5052,24.0,666.0,20.2,391.34,21.7
6,5.987,26.77,25.0461,0.0,18.1,0.0,0.693,100.0,1.5888,24.0,666.0,20.2,396.9,5.6
7,5.896,24.39,15.8603,0.0,18.1,0.0,0.679,95.4,1.9096,24.0,666.0,20.2,7.68,8.3
8,5.85,8.77,0.08014,0.0,5.96,0.0,0.499,41.5,3.9342,5.0,279.0,19.2,396.9,21.0
9,5.877,12.14,1.80028,0.0,19.58,0.0,0.605,79.2,2.4259,5.0,403.0,14.7,227.61,23.8
10,6.24,6.59,0.16211,20.0,6.96,0.0,0.464,16.3,4.429,3.0,223.0,18.6,396.9,25.2
11,5.701,18.35,1.15172,0.0,8.14,0.0,0.538,95.0,3.7872,4.0,307.0,21.0,358.77,13.1
12,5.597,21.45,2.73397,0.0,19.58,0.0,0.871,94.9,1.5257,5.0,403.0,14.7,351.85,15.4
13,6.312,6.15,0.30347,0.0,7.38,0.0,0.493,28.9,5.4159,5.0,287.0,19.6,396.9,23.0
14,6.794,6.48,0.10959,0.0,11.93,0.0,0.573,89.3,2.3889,1.0,273.0,21.0,393.45,22.0
15,6.096,20.34,1.61282,0.0,8.14,0.0,0.538,96.9,3.7598,4.0,307.0,21.0,248.31,13.5
16,6.404,20.31,9.59571,0.0,18.1,0.0,0.693,100.0,1.639,24.0,666.0,20.2,376.11,12.1
17,6.153,13.15,0.06047,0.0,2.46,0.0,0.488,68.8,3.2797,3.0,193.0,17.8,387.11,29.6
18,6.54,8.65,0.02498,0.0,1.89,0.0,0.518,59.7,6.2669,1.0,422.0,15.9,389.96,16.5
19,6.619,7.22,0.04462,25.0,4.86,0.0,0.426,70.4,5.4007,4.0,281.0,19.0,395.63,23.9
20,6.437,14.36,3.56868,0.0,18.1,0.0,0.58,75.0,2.8965,24.0,666.0,20.2,393.37,23.2
21,7.875,2.97,0.01381,80.0,0.46,0.0,0.422,32.0,5.6484,4.0,255.0,14.4,394.23,50.0
22,5.52,24.56,7.99248,0.0,18.1,0.0,0.7,100.0,1.5331,24.0,666.0,20.2,396.9,12.3
23,7.241,5.49,0.01301,35.0,1.52,0.0,0.442,49.3,7.0379,1.0,284.0,15.5,394.74,32.7
24,7.088,7.85,0.00906,90.0,2.97,0.0,0.4,20.8,7.3073,1.0,285.0,15.3,394.72,32.2
25,6.939,5.89,0.02899,40.0,1.25,0.0,0.429,34.5,8.7921,1.0,335.0,19.7,389.85,26.6
26,6.943,4.59,1.22358,0.0,19.58,0.0,0.605,97.4,1.8773,5.0,403.0,14.7,363.43,41.3
27,5.951,17.92,0.11069,0.0,13.89,1.0,0.55,93.8,2.8893,5.0,276.0,16.4,396.9,21.5
28,6.727,9.42,0.14866,0.0,8.56,0.0,0.52,79.9,2.7778,5.0,384.0,20.9,394.76,27.5
29,6.345,4.97,0.06466,70.0,2.24,0.0,0.4,20.1,7.8278,5.0,358.0,14.8,368.24,22.5
30,6.266,7.9,0.26938,0.0,9.9,0.0,0.544,82.8,3.2628,4.0,304.0,18.4,393.39,21.6
31,7.061,7.01,5.73116,0.0,18.1,0.0,0.532,77.0,3.4106,24.0,666.0,20.2,395.28,25.0
32,5.036,25.68,11.5779,0.0,18.1,0.0,0.7,97.0,1.77,24.0,666.0,20.2,396.9,9.7
33,6.782,6.68,0.07875,45.0,3.44,0.0,0.437,41.1,3.7886,5.0,398.0,15.2,393.87,32.0
34,6.29,4.67,0.03584,80.0,3.37,0.0,0.398,17.8,6.6115,4.0,337.0,16.1,396.9,23.5
