,p0_growth,log_inc_t_1,gini_t_1,life_exp,pop_growth_pwt,priv_credit,budget,trade_openness,fin_openness,homic,civ_lib,agriculture,prim_school,sec_school,infrastructure,Dconflict_0,Dconflict_1,Dconflict_2
0,0.00208333,5.23101,0.375859,73.8149,0.001675,0.04552,-0.11,-0.359021,0.412805,0.231479,7.714289999999999,-0.07266030000000001,1.0560200000000002,0.712481,0.876597,1,0,0
1,-0.0041,5.55011,0.384501,75.6477,-0.004370000000000001,0.096949,-0.11,-0.096249,0.412805,0.05,6.0,-0.0440724,1.00357,0.747698,1.16642,1,0,0
2,-0.0025,5.72443,0.384256,76.3725,-0.012344,0.257102,-0.11,0.065187,0.226808,0.03675,6.0,-0.02976286,0.999196,0.7994319999999999,1.33599,1,0,0
3,0.001725,5.9337,0.385119,77.0428,-0.007358,0.376775,-0.11,0.162957,0.3136066,0.0416,6.0,0.02729259,1.00532,0.8821190000000001,1.43504,1,0,0
4,-0.00238889,5.38887,0.49165,48.0366,0.040298,0.07927100000000001,-0.034295400000000004,0.637614,0.1153663,0.098,11.1,0.04050536,0.970806,0.17874600000000002,-0.963081,0,1,0
5,-0.0034,4.72018,0.3869,69.9852,-0.008361,0.069481,-0.02732413,-0.144332,0.77744875,0.031717,8.25,-0.07434498,1.19751,0.850851,0.32210900000000003,1,0,0
6,0.01225,4.88109,0.40244,71.2665,-0.005459,0.087505,-0.02863855,-0.185309,0.97979933,0.02912,8.0,-0.0196557,1.1126200000000002,0.85521,0.4909060000000001,1,0,0
7,-0.0427,5.04219,0.39673,71.9787,-0.00418,0.071748,-0.02587326,-0.161377,1.0,0.02912,8.0,-0.08722769999999999,0.989012,0.8713639999999999,0.584641,1,0,0
8,-0.037000000000000005,5.17156,0.39144,72.4056,-0.003554,0.062294,-0.02427544,-0.092192,1.0,0.02912,8.5,-0.09191059,0.949521,0.8713639999999999,0.6467970000000001,1,0,0
9,-0.0343,5.30826,0.389699,72.7917,-0.003438,0.063365,-0.02273326,-0.097939,1.0,0.027000000000000003,9.0,0.04055222,0.944731,0.877285,0.717255,1,0,0
10,-0.0348,5.4135300000000015,0.387599,73.1306,-0.003655,0.075193,-0.0216737,-0.164665,1.0,0.023,9.0,-0.16588146,0.944598,0.8968959999999999,0.798064,1,0,0
11,-0.0115,5.54985,0.379778,73.4178,-0.004232,0.084427,-0.02139935,-0.25295100000000004,1.0,0.0225,9.0,-0.02135357,0.960052,0.924722,0.8750760000000001,1,0,0
12,0.0027,5.6814800000000005,0.373585,73.6565,-0.004677000000000001,0.112077,-0.02071022,-0.360274,1.0,0.026,9.5,-0.00829795,1.03089,0.943794,0.949717,1,0,0
13,-0.0208,5.81894,0.368881,73.8549,-0.004381,0.164823,-0.02558587,-0.419071,1.0,0.0295,10.0,-0.09749133,1.0801,0.937893,1.01537,1,0,0
14,0.001,5.89417,0.363932,74.0204,-0.002998,0.221208,-0.03103674,-0.417823,1.0,0.033,10.0,0.027649700000000003,1.05001,0.946693,1.06053,1,0,0
15,0.0095,5.74838,0.36101,74.161,-0.00088,0.26650100000000004,-0.03032783,-0.330297,1.0,0.026,10.0,0.01256748,1.02449,0.966329,1.09245,1,0,0
16,0.0016,5.77405,0.359187,74.2846,0.001512,0.319066,-0.02777696,-0.233752,1.0,0.0215,9.5,0.17497116,1.02449,0.966329,1.12522,1,0,0
17,-0.0096,5.8205800000000005,0.357605,74.3975,0.003491,0.37714,-0.02678435,-0.164655,1.0,0.023,9.0,-0.12830426,1.02449,0.966329,1.15437,1,0,0
18,0.006999999999999999,5.8879,0.363504,74.5068,0.00465,0.412201,-0.02817565,-0.128301,1.0,0.021,9.0,0.032951999999999995,1.02449,0.966329,1.16321,1,0,0
19,-0.0013,5.91636,0.368366,74.6186,0.004666,0.456487,-0.03051087,-0.130631,1.0,0.02,9.0,-0.01764232,1.02449,0.966329,1.16321,1,0,0
20,-0.00768333,4.8008,0.327336,65.8885,0.009112,0.037302,-0.05,-0.058602,0.16480899999999998,0.0275,10.5714,-0.08790935,0.977135,0.740151,0.818666,0,1,0
21,-0.0271,5.1824900000000005,0.309969,67.3557,0.010365,0.074744,-0.05,0.045986,0.28880700000000004,0.0265,11.0,-0.05957374,0.986052,0.723654,1.03526,1,0,0
22,0.0,5.27577,0.298242,67.7824,0.010982,0.062985,-0.05,0.204189,0.412805,0.024,11.0,-0.11959809,0.972813,0.723654,1.0958,1,0,0
23,0.0,5.37436,0.291678,68.237,0.011319,0.08167,-0.05,0.33803,0.28880700000000004,0.023,11.0,-0.12812212,0.967372,0.723654,1.16788,1,0,0
24,0.0,5.4627300000000005,0.288826,68.7038,0.011469,0.094258,-0.05,0.373552,0.16480899999999998,0.023,11.0,-0.17963457,0.963942,0.723654,1.23705,0,1,0
25,0.00163333,5.68679,0.287468,69.5332,0.011884,0.128181,-0.05,0.219897,0.25100575,0.02075,11.0,-0.16839593,0.946468,0.723654,1.33599,0,1,0
26,-0.01955,3.62756,0.295232,55.6068,0.027558,0.12779100000000002,0.00333333,-1.44443,0.0,0.025,9.33333,-0.03123771,0.685663,0.201367,-0.907411,0,0,1
27,0.0311,3.64757,0.296031,56.9586,0.027386,0.14085699999999998,-0.01,-1.43813,0.0,0.025,9.0,-0.01189207,0.722954,0.200359,-0.817909,0,0,1
28,0.00096667,3.65758,0.301264,58.7504,0.024455,0.156274,-0.01,-1.3455,0.04120225,0.025,6.5,-0.03796177,0.802229,0.202856,-0.7092350000000001,0,1,0
29,-0.022775,3.72853,0.308886,61.1598,0.022525,0.17181,-0.01,-1.10695,0.2640074,0.025,6.2,-0.04574107,0.810476,0.204005,-0.5767979999999999,1,0,0
30,-0.00335,3.82043,0.326093,64.0237,0.021271,0.204324,-0.01,-0.964252,0.16480899999999998,0.025,6.6,-0.00724385,0.916156,0.358553,-0.296664,1,0,0
31,-0.01846,3.93044,0.333141,66.7043,0.017747,0.25910500000000003,-0.01,-0.879978,0.16480899999999998,0.026,7.83333,-0.03860268,0.98661,0.484354,0.097365,0,1,0
32,-0.01198,4.09204,0.341141,69.0499,0.012156,0.33957800000000005,-0.01,-0.6134149999999999,0.16480899999999998,0.027000000000000003,7.66667,-0.01914726,0.992728,0.470049,0.5830380000000001,0,1,0
33,-0.00012,5.76222,0.226487,70.5053,-0.2,0.176154,-0.04,0.166752,0.16480899999999998,0.093438,8.0,-0.05053039,0.94552,0.95225,0.415697,1,0,0
34,0.00305,5.56529,0.235822,68.7333,-0.00277,0.137749,-0.02666667,0.467415,0.16480899999999998,0.093438,10.0,-0.02316303,0.970039,0.924216,0.601916,1,0,0
35,0.03543333,5.33544,0.240609,68.4604,-0.003556,0.092357,-0.02,0.27028800000000003,0.08240449999999999,0.097544,12.0,-0.07668287,0.99817,0.921879,0.735236,1,0,0
36,-0.0108,5.56401,0.247665,68.1573,-0.004577,0.127262,-0.02,0.35280300000000003,0.0,0.099179,12.0,0.0540141,1.06836,0.8592049999999999,0.8283440000000001,1,0,0
37,-0.0314,5.60165,0.247339,68.4098,-0.005322,0.090895,-0.02,0.426522,0.0,0.099182,12.0,-0.03396019,1.1222,0.8592049999999999,0.89164,1,0,0
38,-0.0396,5.66274,0.246338,68.7097,-0.0060810000000000005,0.044347,-0.02,0.486408,0.0,0.1,12.0,-0.17551382,1.13533,0.8592049999999999,0.969362,1,0,0
39,-0.0112,5.71405,0.245776,68.2817,-0.006645,8.7e-06,-0.02,0.447599,0.08240449999999999,0.0995,12.0,-0.00842281,1.12498,0.8592049999999999,1.03526,1,0,0
40,-0.0063,5.76963,0.24663,68.3049,-0.006817,1e-05,-0.02,0.436662,0.16480899999999998,0.0955,12.5,-0.14322432,1.0601,0.8592049999999999,1.0958,1,0,0
41,-0.0108,5.84469,0.243394,68.7549,-0.006459,1.3e-05,-0.02,0.477754,0.16480899999999998,0.087,13.0,0.01214663,0.997878,0.8592049999999999,1.16788,1,0,0
